Words Removed, Accuracy
0,0.801926401580637
10,0.811558409483823
20,0.812546307730304
30,0.810323536675722
40,0.804396147196839
50,0.805137070881699
60,0.80661891825142
70,0.8063719436898
80,0.803902198073598
90,0.804890096320079
100,0.803902198073598
110,0.805631020004939
120,0.802667325265498
130,0.802667325265498
140,0.804643121758459
150,0.80587799456656
160,0.804890096320079
170,0.804396147196839
180,0.803161274388738
190,0.798715732279575
200,0.795999012101754
210,0.796739935786614
220,0.789330698938009
230,0.788836749814769
240,0.789083724376389
250,0.78982464806125
260,0.79031859718449
270,0.79031859718449
280,0.786367004198568
290,0.786367004198568
300,0.786120029636947
310,0.786367004198568
320,0.786120029636947
330,0.785379105952087
340,0.786613978760188
350,0.785379105952087
360,0.782662385774265
370,0.784885156828847
380,0.784885156828847
390,0.784638182267226
400,0.784638182267226
410,0.785873055075327
420,0.784638182267226
430,0.785132131390467
440,0.785379105952087
450,0.786120029636947
460,0.787107927883428
470,0.787601877006668
480,0.787354902445048
490,0.787601877006668
500,0.788342800691529
510,0.789330698938009
520,0.788342800691529
530,0.788836749814769
540,0.786860953321808
550,0.787107927883428
560,0.786367004198568
570,0.786860953321808
580,0.787107927883428
590,0.788836749814769
600,0.788342800691529
610,0.788589775253149
620,0.787107927883428
630,0.785626080513707
640,0.784885156828847
650,0.781921462089405
660,0.780933563842924
670,0.779945665596444
680,0.780933563842924
690,0.779204741911583
700,0.779698691034823
710,0.778710792788343
720,0.778710792788343
730,0.779945665596444
740,0.780192640158064
750,0.779204741911583
760,0.779698691034823
770,0.780192640158064
780,0.778463818226723
790,0.777475919980242
800,0.778216843665102
810,0.779698691034823
820,0.779451716473203
830,0.780192640158064
840,0.778463818226723
850,0.776981970857002
860,0.776981970857002
870,0.775994072610521
880,0.776981970857002
890,0.776241047172141
900,0.775253148925661
910,0.77377130155594
920,0.77377130155594
930,0.773277352432699
940,0.772042479624599
950,0.771054581378118
960,0.770066683131637
970,0.769325759446777
980,0.769078784885157
990,0.769078784885157
1000,0.770066683131637
